"","x1","x2","zi1","zi2","total_count"
"225",0.025,0.245,0,25,25
"226",0.025,0.255,0,20,20
"227",0.025,0.265,0,25,25
"228",0.025,0.275,0,25,25
"229",0.025,0.285,0,33,33
"230",0.025,0.295,0,16,16
"231",0.025,0.305,0,25,25
"232",0.025,0.315,0,26,26
"233",0.025,0.325,0,27,27
"234",0.025,0.335,0,20,20
"235",0.025,0.345,0,17,17
"236",0.025,0.355,0,17,17
"237",0.025,0.365,0,15,15
"238",0.025,0.375,0,18,18
"239",0.025,0.385,0,19,19
"240",0.025,0.395,0,20,20
"241",0.025,0.405,0,14,14
"242",0.025,0.415,0,13,13
"243",0.025,0.425,0,10,10
"244",0.025,0.435,0,18,18
"245",0.025,0.445,0,16,16
"246",0.025,0.455,0,10,10
"247",0.025,0.465,0,17,17
"248",0.025,0.475,0,11,11
"249",0.025,0.485,0,11,11
"250",0.025,0.495,0,6,6
"251",0.025,0.505,0,5,5
"252",0.025,0.515,0,9,9
"253",0.025,0.525,0,6,6
"254",0.025,0.535,0,16,16
"255",0.025,0.545,0,10,10
"256",0.025,0.555,0,11,11
"257",0.025,0.565,0,5,5
"258",0.025,0.575,0,15,15
"259",0.025,0.585,0,7,7
"260",0.025,0.595,0,9,9
"261",0.025,0.605,0,8,8
"262",0.025,0.615,0,8,8
"263",0.025,0.625,0,12,12
"264",0.025,0.635,0,9,9
"265",0.025,0.645,0,4,4
"266",0.025,0.655,0,7,7
"267",0.025,0.665,0,9,9
"268",0.025,0.675,0,7,7
"269",0.025,0.685,0,4,4
"270",0.025,0.695,0,10,10
"271",0.025,0.705,0,2,2
"272",0.025,0.715,0,2,2
"273",0.025,0.725,0,2,2
"274",0.025,0.735,0,5,5
"275",0.025,0.745,0,4,4
"276",0.025,0.755,0,4,4
"277",0.025,0.765,0,7,7
"278",0.025,0.775,0,10,10
"279",0.025,0.785,0,4,4
"280",0.025,0.795,0,2,2
"281",0.025,0.805,0,1,1
"282",0.025,0.815,0,5,5
"283",0.025,0.825,0,6,6
"284",0.025,0.835,0,7,7
"285",0.025,0.845,0,3,3
"286",0.025,0.855,0,1,1
"287",0.025,0.865,0,3,3
"288",0.025,0.875,0,5,5
"289",0.025,0.885,0,8,8
"290",0.025,0.895,0,6,6
"291",0.025,0.905,0,4,4
"292",0.025,0.915,0,5,5
"293",0.025,0.925,0,6,6
"294",0.025,0.935,0,4,4
"295",0.025,0.945,0,3,3
"296",0.025,0.955,0,3,3
"297",0.025,0.965,0,5,5
"298",0.025,0.975,0,7,7
"299",0.025,0.985,0,5,5
"300",0.025,0.995,0,5,5
"301",0.035,0.005,10,106,116
"302",0.035,0.015,9,97,106
"303",0.035,0.025,0,88,88
"304",0.035,0.035,0,81,81
"305",0.035,0.045,1,79,80
"306",0.035,0.055,0,77,77
"307",0.035,0.065,0,72,72
"308",0.035,0.075,0,73,73
"309",0.035,0.085,0,56,56
"310",0.035,0.095,0,62,62
"311",0.035,0.105,0,46,46
"312",0.035,0.115,0,48,48
"313",0.035,0.125,0,43,43
"314",0.035,0.135,0,44,44
"315",0.035,0.145,0,35,35
"316",0.035,0.155,0,33,33
"317",0.035,0.165,0,33,33
"318",0.035,0.175,0,35,35
"319",0.035,0.185,0,37,37
"320",0.035,0.195,0,36,36
"321",0.035,0.205,0,24,24
"322",0.035,0.215,0,40,40
"323",0.035,0.225,0,30,30
"324",0.035,0.235,0,23,23
"325",0.035,0.245,0,27,27
"326",0.035,0.255,0,37,37
"327",0.035,0.265,0,28,28
"328",0.035,0.275,0,22,22
"329",0.035,0.285,0,22,22
"330",0.035,0.295,0,28,28
"331",0.035,0.305,0,14,14
"332",0.035,0.315,0,19,19
"333",0.035,0.325,0,26,26
"334",0.035,0.335,0,20,20
"335",0.035,0.345,0,20,20
"336",0.035,0.355,0,21,21
"337",0.035,0.365,0,21,21
"338",0.035,0.375,0,11,11
"339",0.035,0.385,0,11,11
"340",0.035,0.395,0,25,25
"341",0.035,0.405,0,9,9
"342",0.035,0.415,0,12,12
"343",0.035,0.425,0,16,16
"344",0.035,0.435,0,11,11
"345",0.035,0.445,0,18,18
"346",0.035,0.455,0,14,14
"347",0.035,0.465,0,10,10
"348",0.035,0.475,0,7,7
"349",0.035,0.485,0,9,9
"350",0.035,0.495,0,10,10
"351",0.035,0.505,0,13,13
"352",0.035,0.515,0,14,14
"353",0.035,0.525,0,17,17
"354",0.035,0.535,0,8,8
"355",0.035,0.545,0,8,8
"356",0.035,0.555,0,6,6
"357",0.035,0.565,0,8,8
"358",0.035,0.575,0,13,13
"359",0.035,0.585,0,6,6
"360",0.035,0.595,0,5,5
"361",0.035,0.605,0,14,14
"362",0.035,0.615,0,12,12
"363",0.035,0.625,0,5,5
"364",0.035,0.635,0,10,10
"365",0.035,0.645,0,7,7
"366",0.035,0.655,0,6,6
"367",0.035,0.665,0,7,7
"368",0.035,0.675,0,8,8
"369",0.035,0.685,0,4,4
"370",0.035,0.695,0,7,7
"371",0.035,0.705,0,7,7
"372",0.035,0.715,0,7,7
"373",0.035,0.725,0,6,6
"374",0.035,0.735,0,3,3
"375",0.035,0.745,0,8,8
"376",0.035,0.755,0,5,5
"377",0.035,0.765,0,4,4
"378",0.035,0.775,0,5,5
"379",0.035,0.785,0,5,5
"380",0.035,0.795,0,11,11
"381",0.035,0.805,0,4,4
